Base Weapon, Name, Rarity, Type, Damage, Ammo, Mag, Fire Rate, Range, Accuracy, Mass, Value, Mods, Description
Grendel, Calibrated Grendel, Common, Rifle, 5 PHYS, 7.77MM, 50, 170, 21, 66.9%, 2.65, 1720, 0/8,
Grendel, Bashing Smuggler's Calibrated Grendel, Rare, Rifle, 6 PHYS, 7.77MM, 50, 170, 19, 67.6%, 2.65, 3695, 3/8, "Bashing: Deals double damage when gun bashing. Short Barrel, Recon Laser Sight, Reflex Sight."
Grendel, Officer's Calibrated Grendel, Common, Rifle, 7 PHYS, 7.77MM, 50, 170, 25, 73.6%, 3.75, 2994, 4/8, "Long Barrel, Laser Sight, Muzzle Brake, Tactical Grip."
Kraken, Anti-Personnel Kraken, Rare, Pistol, 3 PHYS, 6.5MM, 25, 150, 20, 69.6%, 1.00, 1088, 0/6, Anti-Personnel: +10% damage against humans.
Kraken, Extended Mag Kraken, Rare, Pistol, 3 PHYS, 6.5MM, 50, 150, 20, 69.6%, 1.00, 1088, 0/6, Extended Magazine: Doubles the base magazine capacity.
Kraken, Suppressed Kraken, Common, Pistol, 3 PHYS, 6.5MM, 40, 150, 17, 75.2%, 2.05, 1564, 3/6, "Suppressor, Muzzle Brake, Large Magazine."
Kraken, Suppressed Calibrated Kraken, Common, Pistol, 6 PHYS, 6.5MM, 40, 150, 17, 73.2%, 1.80, 2006, 2/6, "Suppressor, Large Magazine."
Kodama, Kodama, Common, Rifle, 17 PHYS, 7.77M, 30, 170, 21, 66.4%, 2.25, 5632, 0/7,
Lawgiver, Disassembler Modified Lawgiver, Rare, Rifle, 38 PHYS, .50 Caliber, 6, 10, 40, 68.0%, 3.60, 5029, 1/6, "Disassembler: +20% damage against robots. Armour-Piercing Rounds."
Maelstrom, Maelstrom, Common, Rifle, 4 PHYS, 6.5MM, 40, 150, 40, 65.8%, 4.15, 1210, 0/7,
Maelstrom, Assassin's Maelstrom, Common, Rifle, 11 PHYS, 6.5MM, 40, 60, 42, 85.9%, 5.65, 2860, 5/7, "Long Barrel, Medium Scope, Suppressor, Tactical Magazine, Semi-Automatic"
Maelstrom, Assassin's Maelstrom, Common, Rifle, 4 PHYS, 6.5MM, 55, 150, 42, 79.7%, 6.25, 2860, 4/7, "Long Barrel, Short Scope, Suppressor, Large Magazine"
Maelstrom, Boosted Maelstrom, Common, Rifle, 4 PHYS, 6.5MM, 55, 150, 58, 69.5%, 5.85, 2475, 3/7, "Long Barrel, Reflex Sight, Large Magazine"
Maelstrom, Suppressed Maelstrom, Common, Rifle, 11 PHYS, 6.5MM, 40, 60, 34, 78.8%, 4.75, 1925, 3/7, "Short Scope, Suppressor, Semi-Automatic"
Maelstrom, Explorer's Calibrated Maelstrom, Rifle, Common, 28 PHYS 3 ENGY, 6.5MM, 40, 60, 48, 85.0%, 5.60, 4042, 6/7, "Long Barrel, Medium Scope, Muzzle Brake, Tactical Grip, Whitehot Rounds, Semi-Automatic."
Maelstrom, Extended Mag Boosted Calibrated Maelstrom, Rare, Rifle, 23 PHYS, 6.5MM, 95, 60, 48, 83.8%, 6.30, 4042, 5/7, "Extended Magazine: Doubles the base magazine capacity. Long Barrel, Medium Scope, Compensator, Large Magazine, Semi-Automatic."
Novablast Disruptor, Space Adept Novablast Disruptor, Rare, Electromagnetic Rifle, 100 EM, Heavy Fuse, 5, 20, 20, 70.2%, 2.70, 8075, 0/5, "Space-Adept: +30% damage while in space, and -15 damage while on a planet."
Novalight, Novalight, Common, Particle Beam Pistol, 8 PHYS 25 ENGY, Light Fuse, 12, 22, 30, 68.6%, 1.35, 4620, 0/7, 
Old Earth Hunting Rifle, Old Earth Hunting Rifle, Common, Rifle, 30 PHYS, 9x39MM, 20, 40, 100, 86.8%, 3.15, 5264, 0/3,
Old Earth Pistol, Beserker Old Earth Pistol, Rare, Pistol, 36 PHYS, .45 Caliber, 9, 67, 20, 66.9%, 1.10, 6525, 0/4, "Beserker: Does more damage he less armour one has."
Old Earth Shotgun, Beserker Old Earth Shotgun, Rare, Shotgun, 88 PHYS, 12G Shell, 5, 5, 20, 56.3%, 3.60, 4305, 0/5, "Beserker: Does more damage the less armour one has."
Old Earth Shotgun, Suppressed Old Earth Shotgun, Common, Shotgun, 80 PHYS, 12G Shell, 6, 6, 17, 65.6%, 4.70, 4161, 2/5, "Suppressor, Stock."
Orion, Orion, Common, Laser Rifle, 27 ENGY, 3KV LZR, 35, 33, 50, 77.0%, 5.25, 5227, 0/7,
Orion, Stealth Orion, Common, Laser Rifle, 27 ENGY, 3KV LZR, 35, 33, 42, 73.0%, 6.65, 6303, 2/7, "Reflex Sight, Stealth Lasers."
Osmium Dagger, Exterminator Osmium Dagger, Rare, Melee, 35 PHYS, 2.70, 3592, "Exterminator: +30% damage against aliens."
Pacifier, Suppressed Pacifier, Common, Shotgun, 71 PHYS, 15x25 CLL Shell, 9, 20, 17, 56.8%, 4.30, 7573, 2/6, "Suppressor, Tactical Stock."
Rattler, Rattler, Common, Pistol, 10 PHYS, .27 Caliber, 12, 50, 20, 68.1%, 0.85, 942, 0/7,
Rattler, Calibrated Rattler, Common, Pistol, 19 PHYS, .27 Caliber, 12, 50, 20, 68.1%, 0.85, 1530, 0/7,
Rattler, Staggering Rattler, Epic, Pistol, 10 PHYS, .27 Caliber, 12, 50, 20, 68.1%, 0.85, 1805, 0/7, "Space-Adept: +30% damage while in space, and -15% damage while on a planet. Staggering: Small chance to stagger enemies."
Rattler, Boosted Calibrated Rattler, Common, Pistol, 17 PHYS, .27 Caliber, 12, 50, 24, 71.4%, 2.05, 2354, 3/7, "Long Barrel, Reflex Sight, Whitehot Rounds"
Razorback, Suppressed Razorback, Common, Pistol, 61 PHYS, 7.5MM, 6, 12, 30, 68.9%, 2.30, 10600, 3/8, "Short Barrel, Reflex Sight, Suppressor."
Regulator, Advanced Regulator, Common, Pistol, 100 PHYS, .43 Ultramag, 8, 18, 20, 71.3%, 0.70, 11124, 0/7,
Rescue Axe, Rescue Axe, Common, Melee, 21 PHYS, , , , , , 1.40, 650, ,
Rescue Axe, Space Adept Rescue Axe, Rare, Melee, 21 PHYS, , , , , , 1.40, 121, , "Space-Adept: +30% damage while in space, and -15% damage while on a planet."
Ripshank, Ripshank, Common, Melee, 15 PHYS, , , , , , 0.40, 365, ,
Ripshank, Beserker Ripshank, Rare, Melee, 15 PHYS, , , , , , 0.40, 547, , "Beserker: Does more damage the less armour one has."
Shotty, Shotty, Common, Shotgun, 60 PHYS, Caseless Shell, 12, 60, 21, 36.5%, 2.95, 7368, 0/8,
Sidearm, Ace Sidearm, Rare, Pistol, 17 PHYS, .27 Caliber, 20, 40, 20, 72.0%, 1.70, 9468, 5/7, "Anti-Personnel: +10% damage against humans. Recon Laser Sight, Reflex Sight, Muzzle Break, Armour-Piercing Rounds, High Powered."
Sidestar, Sidestar, Common, Pistol, 12 PHYS, .27 Caliber, 17, 40, 20, 67.9%, 0.65, 825, 0/7,
Sir Livingstone's Pistol, Sir Livingstone's Pistol, Common, Pistol, 31 PHYS, .45 Caliber, 15, 67, 21, 69.2%, 1.80, 7612, 2/4, "Large Magazine, High Velocity."
Solstice, Solstice, Common, Laser Pistol, 10 ENGY, 1.5KV LZR, 16, 25, 31, 69.8%, 1.30, 1960, 0/7,
Solstice, Space Adept Solstice, Rare, Laser Pistol, 10 ENGY, 1.5KV LZR, 16, 25, 30, 69.3%, 1.30, 2660, 0/7, "Space-Adept: +30% damage while in space, and -15% damage while on a planet."
Solstice, Professional's Solstice, Common, Laser Pistol, 10 ENGY, 1.5KV LZR, 10, 25, 27, 72.5%, 2.40, 2730, 3/7, "Short Barrel with Laser Sight, Holographic Sight, Focal Lens."
Solstice, Explosive Specialized Calibrated Solstice, Legendary, Laser Pistol, 5 ENGY, 1.5KV LZR, 22, 40, 31, 72.7%, 2.40, 7357, 4/7, "Furious: Each consecutive shot deals more damage. Med Theft: Chance that Human enemies drop extra Med Packs on death. Explosive: Randomly switches to explosive rounds. Long Barrel with Laser Sight, Holographic Sight, Ignition Beams, Fully Automatic."
Solstice, Extended Mag Calibrated Solstice, Rare, Laser Pistol, 18 ENGY, 1.5KV LZR, 32, 25, 31, 69.8%, 1.30, 3185, 0/7, "Extended Magazine: Doubles the base magazine capacity."
Solstice, Exerminator's Refined Solstice, Rare, Laser Pistol, 30 ENGY, 1.5KV LZR, 16, 25, 31, 69.8%, 1.30, 682, 0/7, "Exterminator: +30% damage against aliens."
Tombstone, Tombstone, Common, Rifle, 23 PHYS, 11MM, 20, 90, 40, 72.8%, 4.15, 6150, 0/6,
UC Naval Cutlass, UC Naval Cutlass, Common, Melee, 25 PHYS, , , , , , 1.40, 935, ,
UC Naval Cutlass, Lacerate UC Naval Cutlass, Epic, Melee, 25 PHYS, , , , , , 1.40, 1963, , "Instigating: Deals double damage to targets with full health. Lacerate: Randomly applies a bleed effect to the target."
Urban Eagle, Urban Eagle, Common, Pistol, 47 PHYS, .43 Ultramag, 8, 25, 20, 67.7%, 1.75, 4800, 0/7,
Urban Eagle, Marathon, Rare, Pistol, 47 PHYS, .43 Ultramag, 8, 33, 18, 71.4%, 0.49, 17280, 5/7, "Titanium Build: Premium buil dmaterials make this weapon light as a feather. Recon Laser Sight, Reflex Sight, Short Suppressor, Tactical Magazine, Hair Trigger."
XM-2311, XM-2311, Common, Pistol, 47 PHYS, .45 Caliber, 9, 67, 12, 66.9%, 1.10, 8200, 0/5,
