Tournament,End date,Rank,Name,Platform,VIP,Tour Points,Country,Gender,Age,Victory,Runner-Up,Placed,Games Played
Suncream Classic,16/06/2014,6,rab1,PS Vita,,722,,,,1,0,35,40
Suncream Classic,16/06/2014,7,holman9620,PS Vita,,716,USA,,20 to 29,0,0,98,99
Suncream Classic,16/06/2014,8,B-Rockin,PS Vita,Yes,701,USA,M,30 to 39,8,2,63,75
Suncream Classic,16/06/2014,9,assassin_790,PS Vita,Yes,694,ARG,M,10 to 19,1,0,43,50
Suncream Classic,16/06/2014,10,VIKINGS_4_LIFE,PS3,,690,USA,M,20 to 29,0,0,38,45
Summertime Tee-Off,09/06/2014,1,Mr_Skitch,PS3,,794,USA,M,20 to 29,2,1,35,43
Summertime Tee-Off,09/06/2014,2,MrPinhigh69,PS3,Yes,769,USA,M,40 to 49,1,4,41,46
Summertime Tee-Off,09/06/2014,3,TheJessman,PS3,,747,CAN,M,,0,0,40,43
Summertime Tee-Off,09/06/2014,4,Goldenstyk,PS3,,743,USA,M,Under 10,1,0,24,25
Summertime Tee-Off,09/06/2014,5,ftgsdkl,PS Vita,Yes,726,,,,8,3,60,74
Summertime Tee-Off,09/06/2014,6,MrPinhigh69,PS Vita,Yes,718,USA,M,40 to 49,7,13,77,97
Summertime Tee-Off,09/06/2014,7,krstydklwn,PS Vita,,707,USA,M,30 to 39,0,0,93,97
Summertime Tee-Off,09/06/2014,8,assassin_790,PS Vita,Yes,673,ARG,M,10 to 19,1,0,42,49
Summertime Tee-Off,09/06/2014,9,pnx11,PS Vita,Yes,652,UK,M,40 to 49,0,0,16,16
Summertime Tee-Off,09/06/2014,10,eaxtell,PS3,,650,USA,M,,0,0,41,45
Cool Spring Open,02/06/2014,1,MrPinhigh69,PS Vita,Yes,931,USA,M,40 to 49,7,13,76,96
Cool Spring Open,02/06/2014,2,MrPinhigh69,PS3,Yes,881,USA,M,40 to 49,1,3,41,45
Cool Spring Open,02/06/2014,3,starsaber00,PS Vita,Yes,791,USA,M,,0,4,86,95
Cool Spring Open,02/06/2014,4,assassin_790,PS Vita,Yes,783,ARG,M,10 to 19,1,0,41,48
Cool Spring Open,02/06/2014,5,TheJessman,PS3,,767,CAN,M,,0,0,39,42
Cool Spring Open,02/06/2014,6,Kevin_Boss2217,PS3,,765,USA,M,10 to 19,0,0,9,12
Cool Spring Open,02/06/2014,7,ftgsdkl,PS Vita,Yes,755,USA,M,30 to 39,8,3,59,73
Cool Spring Open,02/06/2014,8,Goldenstyk,PS3,,735,USA,M,Under 10,1,0,23,24
Cool Spring Open,02/06/2014,9,hutster39,PS3,Yes,704,USA,M,40 to 49,0,0,34,41
Cool Spring Open,02/06/2014,10,GnomeWizard,PS3,Yes,688,POR,M,70 or over,0,0,27,36
Sunburst Championship,26/05/2014,1,MrPinhigh69,PS Vita,Yes,940,USA,M,40 to 49,6,13,76,95
Sunburst Championship,26/05/2014,2,starsaber00,PS Vita,Yes,849,USA,M,,0,4,85,94
Sunburst Championship,26/05/2014,3,solid718,PS Vita,,841,BRA,M,20 to 29,11,2,33,47
Sunburst Championship,26/05/2014,4,MrPinhigh69,PS3,Yes,811,USA,M,40 to 49,1,2,41,44
Sunburst Championship,26/05/2014,5,Goldenstyk,PS3,,806,USA,M,Under 10,1,0,22,23
Sunburst Championship,26/05/2014,6,addepto,PS Vita,,792,USA,M,20 to 29,0,0,87,95
Sunburst Championship,26/05/2014,7,dimskill,PS3,,764,UK,M,40 to 49,1,2,40,43
Sunburst Championship,26/05/2014,8,rab1,PS Vita,,736,,,,1,0,33,37
Sunburst Championship,26/05/2014,9,TheJessman,PS3,,712,CAN,M,,0,0,38,41
Sunburst Championship,26/05/2014,10,ftgsdkl,PS Vita,Yes,699,USA,M,30 to 39,8,3,58,72
Europe Day Memorial,19/05/2014,1,Darkchamol,PS Vita,Yes,1032,FRA,M,30 to 39,3,3,57,68
Europe Day Memorial,19/05/2014,2,MrPinhigh69,PS Vita,Yes,855,USA,M,40 to 49,5,13,76,94
Europe Day Memorial,19/05/2014,3,MrPinhigh69,PS3,Yes,833,USA,M,40 to 49,1,2,40,43
Europe Day Memorial,19/05/2014,4,Mr_Skitch,PS3,,820,USA,M,20 to 29,1,1,33,40
Europe Day Memorial,19/05/2014,5,Chinnereth,PS3,,725,USA,M,60 to 69,0,0,7,8
Europe Day Memorial,19/05/2014,6,addepto,PS Vita,,676,USA,M,20 to 29,0,0,86,94
Europe Day Memorial,19/05/2014,7,kdoll08,PS3,Yes,666,USA,M,30 to 39,0,0,41,42
Europe Day Memorial,19/05/2014,8,Carlos_Danger,PS3,,647,,,,0,0,30,35
Europe Day Memorial,19/05/2014,9,ilovektcc,PS3,,645,JPN,M,,0,0,5,5
Europe Day Memorial,19/05/2014,10,YanKaLaKeS,PS3,,627,USA,M,20 to 29,0,0,29,40
May Day Tour,12/05/2014,1,Goldenstyk,PS3,,952,USA,M,Under 10,1,0,20,21
May Day Tour,12/05/2014,2,Mr_Skitch,PS3,,885,USA,M,20 to 29,1,1,32,39
May Day Tour,12/05/2014,3,starsaber00,PS3,Yes,824,,,,0,0,12,23
May Day Tour,12/05/2014,4,assassin_790,PS Vita,Yes,794,ARG,M,10 to 19,1,0,38,45
May Day Tour,12/05/2014,5,MrPinhigh69,PS Vita,Yes,786,USA,M,40 to 49,5,12,76,93
May Day Tour,12/05/2014,6,MrPinhigh69,PS3,Yes,752,USA,M,40 to 49,1,2,39,42
May Day Tour,12/05/2014,7,starsaber00,PS Vita,Yes,734,USA,M,,0,3,84,92
May Day Tour,12/05/2014,8,B-Rockin,PS Vita,Yes,731,USA,M,30 to 39,8,2,60,72
May Day Tour,12/05/2014,9,GnomeWizard,PS3,Yes,727,POR,M,70 or over,0,0,24,33
May Day Tour,12/05/2014,10,dimskill,PS3,,665,UK,M,40 to 49,1,2,38,41
Birdsong Challenge,05/05/2014,1,B-Rockin,PS Vita,Yes,880,USA,M,30 to 39,8,2,59,71
Birdsong Challenge,05/05/2014,2,ftgsdkl,PS Vita,Yes,877,USA,M,30 to 39,8,3,55,69
Birdsong Challenge,05/05/2014,3,MrPinhigh69,PS Vita,Yes,830,USA,M,40 to 49,5,12,75,92
Birdsong Challenge,05/05/2014,4,UnicornSparklez,PS3,,827,CAN,,,0,0,3,3
Birdsong Challenge,05/05/2014,5,Mr_Skitch,PS3,,777,USA,M,20 to 29,1,0,32,38
Birdsong Challenge,05/05/2014,6,rascal-2a,PS3,,765,,M,,0,0,6,6
Birdsong Challenge,05/05/2014,7,OOGLE-EYES,PS3,,754,USA,M,40 to 49,0,0,39,41
Birdsong Challenge,05/05/2014,8,MrPinhigh69,PS3,Yes,742,USA,M,40 to 49,1,2,38,41
Birdsong Challenge,05/05/2014,9,Pwnationz,PS3,,725,UK,M,20 to 29,0,0,36,41
Birdsong Challenge,05/05/2014,10,dimskill,PS3,,717,USA,M,40 to 49,1,2,37,40
Earth Day Challenge Cup,28/04/2014,1,ftgsdkl,PS3,Yes,874,USA,M,30 to 39,2,2,22,32
Earth Day Challenge Cup,28/04/2014,2,Darkchamol,PS Vita,Yes,856,FRA,M,30 to 39,2,3,57,67
Earth Day Challenge Cup,28/04/2014,2,starsaber00,PS Vita,Yes,856,USA,M,,0,2,83,90
Earth Day Challenge Cup,28/04/2014,4,ilovetcc,PS3,,830,JPN,M,,0,0,4,4
Earth Day Challenge Cup,28/04/2014,5,dimskill,PS3,,740,UK,M,40 to 49,1,2,36,39
Earth Day Challenge Cup,28/04/2014,6,MrPinhigh69,PS Vita,Yes,727,USA,M,40 to 49,5,12,74,91
Earth Day Challenge Cup,28/04/2014,7,ftgsdkl,PS Vita,Yes,722,USA,M,30 to 39,8,2,55,68
Earth Day Challenge Cup,28/04/2014,8,MrPinhigh69,PS3,Yes,707,USA,M,40 to 49,1,2,37,40
Earth Day Challenge Cup,28/04/2014,9,DuFFmaNA,PS Vita,Yes,698,USA,M,20 to 29,2,8,82,92
Earth Day Challenge Cup,28/04/2014,10,UnicornSparklez,PS3,,669,CAN,,,0,0,2,2
Blossom Masters,21/04/2014,1,MrPinhigh69,PS Vita,Yes,900,USA,M,40 to 49,5,12,73,90
Blossom Masters,21/04/2014,2,starsaber00,PS Vita,Yes,848,USA,M,,0,2,82,89
Blossom Masters,21/04/2014,3,ftgsdkl,PS Vita,Yes,842,USA,M,30 to 39,8,2,54,67
Blossom Masters,21/04/2014,4,B-Rockin,PS Vita,Yes,835,USA,M,30 to 39,7,2,58,69
Blossom Masters,21/04/2014,5,dimskill,PS3,,773,UK,M,40 to 49,1,2,35,38
Blossom Masters,21/04/2014,6,MrPinhigh69,PS3,Yes,767,USA,M,40 to 49,1,2,36,39
Blossom Masters,21/04/2014,7,assassin_790,PS Vita,Yes,727,ARG,M,10 to 19,1,0,35,42
Blossom Masters,21/04/2014,8,Carlos_Danger,PS3,,714,,,,0,0,26,31
Blossom Masters,21/04/2014,9,Yngwie36,PS Vita,,699,USA,M,40 to 49,0,1,43,49
Blossom Masters,21/04/2014,10,TheJessman,PS3,,664,CAN,M,,0,0,33,36
Springtime Tour,14/04/2014,1,ftgsdkl,PS Vita,Yes,893,USA,M,30 to 39,8,2,53,66
Springtime Tour,14/04/2014,2,MrPinhigh69,PS Vita,Yes,879,USA,M,40 to 49,4,12,73,89
Springtime Tour,14/04/2014,3,assassin_790,PS Vita,Yes,839,ARG,M,10 to 19,1,0,34,41
Springtime Tour,14/04/2014,4,Goldenstyk,PS3,,824,USA,M,Under 10,0,0,17,17
Springtime Tour,14/04/2014,5,TIN_CUP_225,PS3,,738,,,,0,1,13,16
Springtime Tour,14/04/2014,6,ftgsdkl,PS3,Yes,692,USA,M,30 to 39,1,2,22,30
Springtime Tour,14/04/2014,7,BlueBrutusTC,PS Vita,,686,USA,M,20 to 29,0,0,90,90
Springtime Tour,14/04/2014,8,Judge_Smales,PS3,,674,,,,0,0,23,33
Springtime Tour,14/04/2014,9,TyroneBiggums227,PS3,,647,,,,0,0,21,32
Springtime Tour,14/04/2014,10,Killer_App_23,PS3,Yes,646,USA,M,20 to 29,0,0,29,34
Fool's Day Classic,07/04/2014,1,ftgsdkl,PS Vita,Yes,835,USA,M,30 to 39,7,2,5,65
Fool's Day Classic,07/04/2014,2,Sy-Klone82,PS Vita,,790,USA,M,20 to 29,0,1,0,2
Fool's Day Classic,07/04/2014,3,MrPinhigh69,PS Vita,Yes,753,USA,M,40 to 49,4,11,73,88
Fool's Day Classic,07/04/2014,4,MrPinhigh69,PS3,Yes,745,USA,M,40 to 49,1,2,34,37
Fool's Day Classic,07/04/2014,5,assassin_790,PS Vita,Yes,743,ARG,M,10 to 19,1,0,33,40
Fool's Day Classic,07/04/2014,6,John-_-Daily,PS3,,721,IRL,M,30 to 39,0,0,19,19
Fool's Day Classic,07/04/2014,7,Lil_Beanboy,PS3,,699,,,,0,0,14,23
Fool's Day Classic,07/04/2014,8,TheJessman,PS3,,698,CAN,M,,0,0,31,34
Fool's Day Classic,07/04/2014,9,Mr_Skitch,PS3,,693,USA,M,20 to 29,1,0,29,35
Fool's Day Classic,07/04/2014,10,LastNinja64,PS3,,688,UK,M,,0,1,26,30
Misty Masters,02/12/2013,1,ftgsdkl,PS Vita,Yes,833,USA,M,30 to 39,3,1,41,48
Misty Masters,02/12/2013,2,dimskill,PS3,,784,UK,M,40 to 49,0,1,18,19
Misty Masters,02/12/2013,3,MrPinhigh69,PS Vita,Yes,764,USA,M,40 to 49,2,9,59,70
Misty Masters,02/12/2013,4,MrPinhigh69,PS3,Yes,753,USA,M,40 to 49,0,0,19,19
Misty Masters,02/12/2013,5,Ghost1877,PS3,,736,UK,M,30 to 39,0,0,8,8
Misty Masters,02/12/2013,6,ftgsdkl,PS3,Yes,725,USA,M,30 to 39,0,0,15,18
Misty Masters,02/12/2013,7,zsuzsu23,PS Vita,,703,USA,M,40 to 49,0,0,33,34
Misty Masters,02/12/2013,8,starsaber00,PS Vita,Yes,700,USA,M,,0,1,65,69
Misty Masters,02/12/2013,9,Robbery-98,PS3,,692,CAN,M,30 to 39,0,0,16,16
Misty Masters,02/12/2013,10,Lil_Dude_____LD,PS3,Yes,681,,,,0,0,16,19
Harvest Tour,24/09/2012,1,Mutard,PS Vita,,1030,USA,M,30 to 39,2,0,5,7
Harvest Tour,24/09/2012,2,CubLove17,PS Vita,,827,USA,M,30 to 39,0,1,4,6
Harvest Tour,24/09/2012,3,miamiheatowns,PS Vita,,771,USA,M,10 to 19,0,0,9,9
Harvest Tour,24/09/2012,4,hcandelar,PS Vita,,765,USA,F,,0,0,7,7
Harvest Tour,24/09/2012,5,MrPinhigh69,PS Vita,,746,USA,M,40 to 49,0,0,9,9
Harvest Tour,24/09/2012,6,B-Rockin,PS Vita,,730,USA,M,20 to 29,0,0,9,9
Harvest Tour,24/09/2012,7,MPAGS13,PS Vita,,724,USA,M,30 to 39,0,0,8,9
Harvest Tour,24/09/2012,8,DuFFmaNA,PS Vita,,718,USA,M,20 to 29,0,1,8,9
Harvest Tour,24/09/2012,9,Elektropop,PS Vita,,694,FIN,,20 to 29,1,2,6,9
Harvest Tour,24/09/2012,10,PizzaGuy8042,PS Vita,,654,USA,M,40 to 49,0,0,7,7
Sunflower Cup,20/08/2012,1,MasonR,PS Vita,,893,USA,M,20 to 29,2,1,1,4
Sunflower Cup,20/08/2012,2,Bjindaheez,PS Vita,,890,USA,M,20 to 29,1,1,2,4
Sunflower Cup,20/08/2012,3,ZephyrXIII,PS Vita,,875,,M,20 to 29,0,1,3,4
Sunflower Cup,20/08/2012,4,Mutard,PS Vita,,828,USA,M,30 to 39,0,0,3,3
Sunflower Cup,20/08/2012,5,Senidol,PS Vita,,813,USA,M,20 to 29,0,0,3,3
Sunflower Cup,20/08/2012,6,MrPinhigh69,PS Vita,,775,USA,M,40 to 49,0,0,4,4
Sunflower Cup,20/08/2012,7,hutster39,PS Vita,,739,USA,M,40 to 49,0,0,4,4
Sunflower Cup,20/08/2012,8,Tobbebaas,PS Vita,,712,NED,M,20 to 29,0,0,4,4
Sunflower Cup,20/08/2012,9,rluckas,PS Vita,,677,CAN,M,,0,0,4,4
Sunflower Cup,20/08/2012,10,ZimtBraun,PS Vita,,667,GER,,,0,0,4,4
Summer Games Tee Off,06/08/2012,1,MasonR,PS Vita,,945,USA,M,20 to 29,1,0,1,2
Summer Games Tee Off,06/08/2012,2,ZephyrXIII,PS Vita,,903,,M,20 to 29,0,1,1,2
Summer Games Tee Off,06/08/2012,3,BJindaheez,PS Vita,,882,USA,M,20 to 29,0,0,2,2
Summer Games Tee Off,06/08/2012,4,smuguy97,PS Vita,,815,USA,M,20 to 29,0,0,2,2
Summer Games Tee Off,06/08/2012,5,albi91,PS Vita,,809,ITA,M,20 to 29,0,0,2,2
Summer Games Tee Off,06/08/2012,6,Elektropop,PS Vita,,777,FIN,,20 to 29,0,1,1,2
Summer Games Tee Off,06/08/2012,7,Optimus_Prime,PS Vita,,774,USA,M,30 to 39,0,0,2,2
Summer Games Tee Off,06/08/2012,8,DuFFmaNA,PS Vita,,713,USA,M,20 to 29,0,0,2,2
Summer Games Tee Off,06/08/2012,9,SaKuZon99,PS Vita,,708,FIN,M,30 to 39,0,0,2,2
Summer Games Tee Off,06/08/2012,10,InfinityOnH1gh,PS Vita,,624,UK,M,20 to 29,0,0,2,2
Mid-summer Masters,20/07/2012,1,Easiine,PS Vita,,1060,CZE,F,20 to 29,1,0,0,1
Mid-summer Masters,20/07/2012,2,Elektropop,PS Vita,,1008,FIN,,20 to 29,0,1,0,0
Mid-summer Masters,20/07/2012,3,Mutard,PS Vita,,946,USA,M,30 to 39,0,0,1,1
Mid-summer Masters,20/07/2012,4,MasonR,PS Vita,,917,USA,M,20 to 29,0,0,1,1
Mid-summer Masters,20/07/2012,5,Senidol,PS Vita,,849,USA,M,20 to 29,0,0,1,1
Mid-summer Masters,20/07/2012,6,BJindaheez,PS Vita,,839,USA,M,20 to 29,0,0,1,1
Mid-summer Masters,20/07/2012,7,ZephyrXIII,PS Vita,,839,,M,20 to 29,0,0,1,1
Mid-summer Masters,20/07/2012,8,DenisCRO,PS Vita,,731,,M,30 to 39,0,0,1,1
Mid-summer Masters,20/07/2012,9,hcandelar,PS Vita,,719,USA,F,,0,0,1,1
Mid-summer Masters,20/07/2012,10,Tobbebaas,PS Vita,,707,NED,M,20 to 29,0,0,1,1
